sound_obj::sub_415480,0x415480,0xcb
sound_obj::sub_415570,0x415570,0x1b9
sound_obj::sub_415730,0x415730,0x89
sound_obj::sub_4157C0,0x4157c0,0x257
sound_obj::sub_416260,0x416260,0x3a6
sound_obj::sub_417060,0x417060,0x9a
sound_obj::sub_4174C0,0x4174c0,0x10a
sound_obj::sub_4177D0,0x4177d0,0xc8
sound_obj::sub_4178C0,0x4178c0,0xe3
sound_obj::sub_417A00,0x417a00,0xbb
sub_417AC0,0x417ac0,0x49
sub_417B80,0x417b80,0x20
sub_417BA0,0x417ba0,0x49
sound_obj::ConvertToPlayBackRate_417C60,0x417c60,0x79
sub_417D70,0x417d70,0x55
sound_obj::sub_417E30,0x417e30,0xb3
sound_obj::sub_417EF0,0x417ef0,0x4f
sound_obj::sub_417F40,0x417f40,0x25
sound_obj::sub_417FD0,0x417fd0,0x103
sound_obj::sub_418130,0x418130,0x58
sound_obj::sub_418190,0x418190,0x101
sound_obj::sub_4182A0,0x4182a0,0x39
sound_obj::sub_4182E0,0x4182e0,0x2ab
nullsub_59,0x4185c0,0x1
nullsub_60,0x418600,0x1
sound_obj::sub_418610,0x418610,0xbb
sound_obj::sub_4186D0,0x4186d0,0x4d
sound_obj::sub_418720,0x418720,0x21c
sound_obj::sub_418940,0x418940,0x1fa
sound_obj::ProcessType11_418B60,0x418b60,0xbb
sound_obj::sub_418C20,0x418c20,0x35
sound_obj::sub_418C60,0x418c60,0x1f
sub_418C80,0x418c80,0x1c
sound_obj::ProcessType10_418CA0,0x418ca0,0x27c
sound_obj::sub_419020,0x419020,0x46
sound_obj::VolCalc_419070,0x419070,0x34
sound_obj::sub_4190B0,0x4190b0,0x57
nullsub_61,0x419a90,0x1
nullsub_62,0x419ae0,0x1
??0Iostream_init@@QAE@XZ,0x419df0,0x3
sound_obj::AddSoundObject_419FA0,0x419fa0,0xe4
sound_obj::FreeSoundEntry_41A090,0x41a090,0x114
sound_obj::LoadStyle_41A1B0,0x41a1b0,0x22
sound_obj::GetFileName_41A1E0,0x41a1e0,0x6f
sound_obj::SetSfxVol_41A250,0x41a250,0xa
sound_obj::SetCDVol_41A270,0x41a270,0xa
sound_obj::Set3DSound_41A2F0,0x41a2f0,0x96
sound_obj::ServiceSoundEffects_41A3A0,0x41a3a0,0x44
sound_obj::CalcVolume_41A3F0,0x41a3f0,0x86
sub_41A4A0,0x41a4a0,0xb2
sub_41A580,0x41a580,0xcd
sound_obj::RandomDisplacement_41A650,0x41a650,0x67
sound_obj::ResetEntry_41A6C0,0x41a6c0,0x2d
sound_obj::sub_41A6F0,0x41a6f0,0x40
sound_obj::InterrogateAudioEntities_41A730,0x41a730,0x11e
sound_obj::AddSampleToRequestedQueue_41A850,0x41a850,0xb2
sound_obj::AddDetailsToRequestedOrderList_41A910,0x41a910,0xbd
sound_obj::AddReleasingSounds_41A9D0,0x41a9d0,0x1a6
sound_obj::ProcessActiveQueues_41AB80,0x41ab80,0x8f1
Fix16::sub_41B480,0x41b480,0xe
sound_obj::sub_41B490,0x41b490,0x45
sound_obj::VecDiff_41B4E0,0x41b4e0,0x37
sound_obj::sub_41B520,0x41b520,0x13
sound_obj::sub_41B540,0x41b540,0x9a
sound_obj::sub_41B660,0x41b660,0x32
sound_obj::ClearRequestedQueue_41B700,0x41b700,0x40
sound_obj::ClearActivateSamples_41B7A0,0x41b7a0,0x123
sound_obj::GenerateIntegerRandomNumberTable_41BA90,0x41ba90,0x1d
nullsub_63,0x41dcf0,0x1
nullsub_64,0x41dd30,0x1
nullsub_65,0x41e6f0,0x1
nullsub_66,0x41e740,0x1
sound_obj::sub_41E820,0x41e820,0x27
sound_obj::sub_41E850,0x41e850,0xba7
sound_obj::sub_41F520,0x41f520,0x3b5
sound_obj::sub_41FCA0,0x41fca0,0xb4
nullsub_67,0x422030,0x1
nullsub_68,0x422070,0x1
nullsub_69,0x422a00,0x1
nullsub_70,0x422a50,0x1
sub_422B70,0x422b70,0x4e5
sound_obj::sub_423080,0x423080,0x5a8
sub_4236C0,0x4236c0,0x1d
nullsub_71,0x425c20,0x1
nullsub_72,0x425c60,0x1
nullsub_73,0x426620,0x1
nullsub_74,0x426670,0x1
sound_obj::sub_426750,0x426750,0x35
sound_obj::sub_426790,0x426790,0x640
sound_obj::sub_426E10,0x426e10,0x105
sound_obj::sub_426F20,0x426f20,0x190
sub_427170,0x427170,0xa
