nullsub_58,0x412160,0x12160,0x1
sound_obj::null_412240,0x412240,0x12240,0x1
nullsub_3,0x412250,0x12250,0x1
sound_obj::sub_412260,0x412260,0x12260,0xeb
sound_obj::ProcessEntity_4123A0,0x4123a0,0x123a0,0xb5
sound_obj::ProcessType2_412490,0x412490,0x12490,0x287
sound_obj::ProcessType1_412740,0x412740,0x12740,0xdc
sound_obj::ProcessType8_412820,0x412820,0x12820,0x22c
sound_obj::ProcessType9_412A60,0x412a60,0x12a60,0x11b
sound_obj::sub_412B80,0x412b80,0x12b80,0xba
sound_obj::sub_412C90,0x412c90,0x12c90,0x6c
sound_obj::sub_412D30,0x412d30,0x12d30,0xf
sound_obj::sub_412D40,0x412d40,0x12d40,0x4e
sound_obj::sub_412D90,0x412d90,0x12d90,0x140
sound_obj::sub_413000,0x413000,0x13000,0x35
sound_obj::sub_413040,0x413040,0x13040,0x43
sound_obj::sub_413090,0x413090,0x13090,0x44
sound_obj::sub_4130E0,0x4130e0,0x130e0,0x35
sound_obj::sub_413120,0x413120,0x13120,0x2ec
sound_obj::sub_413540,0x413540,0x13540,0x53
sound_obj::sub_4136D0,0x4136d0,0x136d0,0x5c
sound_obj::ProcessType6_413760,0x413760,0x13760,0x28b
sound_obj::sub_413A10,0x413a10,0x13a10,0x167
sound_obj::sub_413B90,0x413b90,0x13b90,0x4d
sound_obj::sub_413BE0,0x413be0,0x13be0,0xd
sound_obj::sub_413BF0,0x413bf0,0x13bf0,0x56
sound_obj::sub_413C50,0x413c50,0x13c50,0xbf
sound_obj::sub_413D10,0x413d10,0x13d10,0x1ca
sound_obj::sub_4140C0,0x4140c0,0x140c0,0xf6
sound_obj::sub_414320,0x414320,0x14320,0x3e
sound_obj::sub_4143A0,0x4143a0,0x143a0,0xf6
sound_obj::sub_4145E0,0x4145e0,0x145e0,0x4a
sound_obj::sub_414690,0x414690,0x14690,0x34
sound_obj::sub_414710,0x414710,0x14710,0xf2
sound_obj::sub_4149D0,0x4149d0,0x149d0,0x38
sound_obj::sub_414A50,0x414a50,0x14a50,0xfd
sound_obj::sub_414C90,0x414c90,0x14c90,0x54
sound_obj::sub_414D30,0x414d30,0x14d30,0xa1
sound_obj::sub_414EE0,0x414ee0,0x14ee0,0x4c
sound_obj::sub_414F90,0x414f90,0x14f90,0x87
sound_obj::sub_415100,0x415100,0x15100,0x4c
sound_obj::sub_415190,0x415190,0x15190,0x107
sound_obj::sub_4153F0,0x4153f0,0x153f0,0x54
sound_obj::sub_415480,0x415480,0x15480,0xcb
sound_obj::sub_415570,0x415570,0x15570,0x1b9
sound_obj::sub_415730,0x415730,0x15730,0x89
sound_obj::sub_4157C0,0x4157c0,0x157c0,0x257
sound_obj::sub_416260,0x416260,0x16260,0x3a6
sound_obj::sub_417060,0x417060,0x17060,0x9a
sound_obj::sub_4174C0,0x4174c0,0x174c0,0x10a
sound_obj::sub_4177D0,0x4177d0,0x177d0,0xc8
sound_obj::sub_4178C0,0x4178c0,0x178c0,0xe3
sound_obj::sub_417A00,0x417a00,0x17a00,0xbb
sub_417AC0,0x417ac0,0x17ac0,0x49
sub_417B80,0x417b80,0x17b80,0x20
sub_417BA0,0x417ba0,0x17ba0,0x49
sound_obj::ConvertToPlayBackRate_417C60,0x417c60,0x17c60,0x79
sub_417D70,0x417d70,0x17d70,0x55
sound_obj::sub_417E30,0x417e30,0x17e30,0xb3
sound_obj::sub_417EF0,0x417ef0,0x17ef0,0x4f
sound_obj::sub_417F40,0x417f40,0x17f40,0x25
sound_obj::sub_417FD0,0x417fd0,0x17fd0,0x103
sound_obj::sub_418130,0x418130,0x18130,0x58
sound_obj::sub_418190,0x418190,0x18190,0x101
